Data-Ora, Medio
1/1/2023 0:00,8.1
1/1/2023 1:00,8.3
1/1/2023 2:00,8.4
1/1/2023 3:00,8.2
1/1/2023 4:00,8.2
1/1/2023 5:00,8
1/1/2023 6:00,7.8
1/1/2023 7:00,7.9
1/1/2023 8:00,7.8
1/1/2023 9:00,7.9
1/1/2023 10:00,8.1
1/1/2023 11:00,8.3
1/1/2023 12:00,8.5
1/1/2023 13:00,8.4
1/1/2023 14:00,8.5
1/1/2023 15:00,8.6
1/1/2023 16:00,8.6
1/1/2023 17:00,8.6
1/1/2023 18:00,8.7
1/1/2023 19:00,8.7
1/1/2023 20:00,8.7
1/1/2023 21:00,8.7
1/1/2023 22:00,8.7
1/1/2023 23:00,8.8
1/2/2023 0:00,8.8
1/2/2023 1:00,8.9
1/2/2023 2:00,9
1/2/2023 3:00,9
1/2/2023 4:00,9.1
1/2/2023 5:00,9
1/2/2023 6:00,9
1/2/2023 7:00,9
1/2/2023 8:00,9.1
1/2/2023 9:00,9.3
1/2/2023 10:00,9.1
1/2/2023 11:00,9.3
1/2/2023 12:00,9.5
1/2/2023 13:00,9.8
1/2/2023 14:00,10
1/2/2023 15:00,10
1/2/2023 16:00,10.1
1/2/2023 17:00,10
1/2/2023 18:00,9.9
1/2/2023 19:00,9.9
1/2/2023 20:00,9.9
1/2/2023 21:00,9.8
1/2/2023 22:00,9.7
1/2/2023 23:00,9.9
1/3/2023 0:00,9.9
1/3/2023 1:00,9.7
1/3/2023 2:00,9.7
1/3/2023 3:00,9.9
1/3/2023 4:00,9.9
1/3/2023 5:00,10
1/3/2023 6:00,9.8
1/3/2023 7:00,9.5
1/3/2023 8:00,9.5
1/3/2023 9:00,9.5
1/3/2023 10:00,9.6
1/3/2023 11:00,9.7
1/3/2023 12:00,9.9
1/3/2023 13:00,10
1/3/2023 14:00,10.2
1/3/2023 15:00,10.2
1/3/2023 16:00,10.4
1/3/2023 17:00,10.5
1/3/2023 18:00,10.5
1/3/2023 19:00,10.6
1/3/2023 20:00,10.5
1/3/2023 21:00,10.4
1/3/2023 22:00,10.1
1/3/2023 23:00,10.2
1/4/2023 0:00,10.2
1/4/2023 1:00,10.2
1/4/2023 2:00,10.2
1/4/2023 3:00,10.1
1/4/2023 4:00,10.2
1/4/2023 5:00,10.1
1/4/2023 6:00,9.9
1/4/2023 7:00,9.7
1/4/2023 8:00,9.6
1/4/2023 9:00,9.4
1/4/2023 10:00,9.8
1/4/2023 11:00,10.6
1/4/2023 12:00,10.9
1/4/2023 13:00,10.6
1/4/2023 14:00,10.4
1/4/2023 15:00,10.8
1/4/2023 16:00,10.9
1/4/2023 17:00,10.4
1/4/2023 18:00,10.2
1/4/2023 19:00,10.1
1/4/2023 20:00,9.6
1/4/2023 21:00,9.2
1/4/2023 22:00,8.9
1/4/2023 23:00,8.6
1/5/2023 0:00,8.4
1/5/2023 1:00,8.5
1/5/2023 2:00,8.6
1/5/2023 3:00,8
1/5/2023 4:00,7.7
1/5/2023 5:00,7.5
1/5/2023 6:00,7.4
1/5/2023 7:00,6.8
1/5/2023 8:00,6.2
1/5/2023 9:00,6.1
1/5/2023 10:00,7.2
1/5/2023 11:00,8.4
1/5/2023 12:00,10.5
1/5/2023 13:00,11.7
1/5/2023 14:00,13
1/5/2023 15:00,13.6
1/5/2023 16:00,14.3
1/5/2023 17:00,13.4
1/5/2023 18:00,12.4
1/5/2023 19:00,11.7
1/5/2023 20:00,11.2
1/5/2023 21:00,10.7
1/5/2023 22:00,8.6
1/5/2023 23:00,6.8
1/6/2023 0:00,7.5
1/6/2023 1:00,7.9
1/6/2023 2:00,7.7
1/6/2023 3:00,7.7
1/6/2023 4:00,7.9
1/6/2023 5:00,8.1
